"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"EG"	"CREO"	"FCN_NACION"	"CONVERGENCIA"	"TODOS"	"PODEMOS"	"VIVA"	"LIBRE"	"UCN"	"PHG"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13784"	"4"	"13"	"15"	"2"	"396"	"1"	"50"	"12"	"119"	"0"	"5"	"2"	"0"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"8"	"5"	"0"	"210"	"210"	"1"	"0"
"13785"	"4"	"13"	"15"	"2"	"233"	"1"	"27"	"5"	"76"	"0"	"1"	"0"	"1"	"4"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"2"	"0"	"0"	"122"	"122"	"1"	"0"
"13786"	"4"	"13"	"15"	"2"	"232"	"0"	"28"	"5"	"85"	"0"	"2"	"2"	"0"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"1"	"2"	"0"	"130"	"130"	"1"	"0"
"13787"	"4"	"13"	"15"	"2"	"376"	"3"	"88"	"22"	"75"	"1"	"7"	"1"	"5"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"11"	"9"	"0"	"225"	"225"	"1"	"0"
"13788"	"4"	"13"	"15"	"2"	"376"	"1"	"91"	"32"	"85"	"1"	"10"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"12"	"16"	"0"	"254"	"254"	"1"	"0"
"13789"	"4"	"13"	"15"	"2"	"377"	"0"	"139"	"17"	"88"	"0"	"0"	"2"	"2"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"12"	"12"	"0"	"276"	"276"	"1"	"0"
"13790"	"4"	"13"	"15"	"2"	"376"	"1"	"127"	"24"	"81"	"0"	"3"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"7"	"13"	"0"	"260"	"260"	"1"	"0"
"13791"	"4"	"13"	"15"	"2"	"380"	"1"	"77"	"23"	"70"	"0"	"1"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"7"	"3"	"0"	"188"	"188"	"1"	"0"
"13792"	"4"	"13"	"15"	"2"	"341"	"3"	"80"	"15"	"64"	"1"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"0"	"2"	"0"	"171"	"171"	"1"	"0"
"13793"	"4"	"13"	"15"	"2"	"340"	"2"	"95"	"22"	"67"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"0"	"3"	"0"	"195"	"195"	"1"	"0"
"13794"	"4"	"13"	"15"	"2"	"380"	"2"	"57"	"30"	"75"	"0"	"6"	"1"	"5"	"1"	"5"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"14"	"9"	"0"	"212"	"212"	"1"	"0"
"13795"	"4"	"13"	"15"	"2"	"376"	"6"	"40"	"27"	"126"	"0"	"3"	"3"	"6"	"0"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"2"	"9"	"0"	"228"	"228"	"1"	"0"
"13796"	"4"	"13"	"15"	"2"	"376"	"5"	"87"	"34"	"101"	"1"	"7"	"1"	"1"	"1"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"10"	"18"	"0"	"273"	"273"	"1"	"0"
