"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MLP"	"EL_CACAO"	"PC"	"UNE"	"EG"	"TODOS"	"UNIONISTA"	"UCN"	"PHG"	"VALOR"	"CREO"	"VAMOS"	"SEMILLA"	"VICTORIA"	"UNIDOS"	"FCN_NACION"	"PODEMOS"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10692"	"4"	"10"	"13"	"2"	"400"	"5"	"9"	"0"	"68"	"0"	"9"	"4"	"45"	"0"	"5"	"1"	"70"	"2"	"8"	"3"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"16"	"9"	"0"	"261"	"261"	"1"	"0"
"10693"	"4"	"10"	"13"	"2"	"307"	"1"	"9"	"0"	"74"	"5"	"5"	"3"	"34"	"0"	"3"	"0"	"56"	"1"	"3"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"9"	"3"	"0"	"214"	"214"	"1"	"0"
"10694"	"4"	"10"	"13"	"2"	"306"	"1"	"13"	"1"	"54"	"5"	"4"	"5"	"37"	"1"	"3"	"0"	"61"	"7"	"5"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"3"	"1"	"0"	"206"	"206"	"1"	"0"
"10695"	"4"	"10"	"13"	"2"	"0"	"3"	"3"	"6"	"80"	"2"	"12"	"1"	"38"	"2"	"2"	"4"	"18"	"1"	"18"	"1"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"20"	"6"	"0"	"235"	"235"	"1"	"1"
"10696"	"4"	"10"	"13"	"2"	"376"	"1"	"3"	"1"	"79"	"0"	"12"	"1"	"47"	"0"	"1"	"0"	"23"	"1"	"10"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"21"	"11"	"0"	"228"	"228"	"1"	"0"
"10697"	"4"	"10"	"13"	"2"	"340"	"3"	"2"	"1"	"86"	"0"	"3"	"3"	"44"	"0"	"1"	"1"	"21"	"1"	"9"	"0"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"20"	"19"	"0"	"228"	"228"	"1"	"0"
"10698"	"4"	"10"	"13"	"2"	"339"	"3"	"1"	"0"	"82"	"0"	"6"	"1"	"31"	"2"	"1"	"2"	"23"	"0"	"10"	"1"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"14"	"11"	"0"	"201"	"201"	"1"	"0"
"10699"	"4"	"10"	"13"	"2"	"377"	"11"	"6"	"2"	"27"	"1"	"25"	"1"	"112"	"0"	"3"	"1"	"30"	"0"	"11"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"19"	"11"	"0"	"268"	"268"	"1"	"0"
"10700"	"4"	"10"	"13"	"2"	"380"	"2"	"5"	"1"	"29"	"0"	"21"	"1"	"110"	"0"	"1"	"0"	"18"	"1"	"8"	"2"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"12"	"9"	"0"	"228"	"228"	"1"	"0"
"10701"	"4"	"10"	"13"	"2"	"352"	"5"	"8"	"2"	"46"	"3"	"15"	"1"	"94"	"1"	"3"	"0"	"13"	"0"	"10"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"12"	"3"	"0"	"222"	"222"	"1"	"0"
"10702"	"4"	"10"	"13"	"2"	"352"	"5"	"3"	"0"	"35"	"3"	"32"	"0"	"100"	"1"	"1"	"1"	"17"	"0"	"12"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"12"	"6"	"0"	"234"	"234"	"1"	"0"
"10703"	"4"	"10"	"13"	"2"	"380"	"6"	"5"	"5"	"29"	"1"	"87"	"2"	"35"	"1"	"1"	"1"	"30"	"0"	"3"	"0"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"10"	"5"	"0"	"266"	"266"	"1"	"0"
