"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"COCIMI"	"UNE"	"SEMILLA"	"PAN"	"PHG"	"VALOR"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20584"	"4"	"22"	"5"	"2"	"380"	"5"	"112"	"108"	"9"	"2"	"16"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"7"	"7"	"0"	"269"	"269"	"1"	"0"
"20585"	"4"	"22"	"5"	"2"	"380"	"3"	"97"	"98"	"9"	"3"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"6"	"0"	"0"	"226"	"226"	"1"	"0"
"20586"	"4"	"22"	"5"	"2"	"380"	"5"	"104"	"100"	"14"	"3"	"10"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"1"	"0"	"247"	"247"	"1"	"0"
"20587"	"4"	"22"	"5"	"2"	"384"	"1"	"110"	"87"	"13"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"16"	"4"	"0"	"250"	"250"	"1"	"0"
"20588"	"4"	"22"	"5"	"2"	"380"	"3"	"110"	"82"	"12"	"4"	"10"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"14"	"1"	"0"	"240"	"240"	"1"	"0"
"20589"	"4"	"22"	"5"	"2"	"382"	"5"	"103"	"107"	"14"	"4"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"10"	"6"	"0"	"261"	"261"	"1"	"0"
"20590"	"4"	"22"	"5"	"2"	"380"	"5"	"107"	"83"	"9"	"0"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"12"	"9"	"0"	"242"	"242"	"1"	"0"
"20591"	"4"	"22"	"5"	"2"	"377"	"2"	"119"	"99"	"12"	"2"	"9"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"16"	"5"	"0"	"266"	"266"	"1"	"0"
"20592"	"4"	"22"	"5"	"2"	"380"	"3"	"112"	"92"	"13"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"4"	"0"	"251"	"251"	"1"	"0"
"20593"	"4"	"22"	"5"	"2"	"380"	"4"	"111"	"87"	"11"	"2"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"13"	"3"	"0"	"245"	"245"	"1"	"0"
"20594"	"4"	"22"	"5"	"2"	"380"	"3"	"156"	"78"	"11"	"4"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"3"	"2"	"0"	"270"	"270"	"1"	"0"
"20595"	"4"	"22"	"5"	"2"	"216"	"1"	"94"	"55"	"10"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"2"	"1"	"0"	"166"	"166"	"1"	"0"
"20596"	"4"	"22"	"5"	"2"	"216"	"2"	"59"	"37"	"4"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"6"	"4"	"0"	"117"	"117"	"1"	"0"
"20597"	"4"	"22"	"5"	"2"	"598"	"6"	"88"	"61"	"11"	"2"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"14"	"11"	"0"	"207"	"207"	"1"	"0"
"20598"	"4"	"22"	"5"	"2"	"599"	"9"	"108"	"65"	"9"	"2"	"16"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"8"	"6"	"0"	"227"	"227"	"1"	"0"
"20599"	"4"	"22"	"5"	"2"	"600"	"5"	"97"	"70"	"11"	"2"	"22"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"8"	"4"	"0"	"220"	"220"	"1"	"0"
"20600"	"4"	"22"	"5"	"2"	"600"	"6"	"112"	"71"	"14"	"5"	"17"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"24"	"3"	"0"	"257"	"257"	"1"	"0"
"20601"	"4"	"22"	"5"	"2"	"603"	"4"	"98"	"70"	"12"	"2"	"17"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"7"	"9"	"0"	"223"	"223"	"1"	"0"
"20602"	"4"	"22"	"5"	"2"	"599"	"3"	"72"	"45"	"6"	"1"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"13"	"6"	"0"	"158"	"158"	"1"	"0"
"20603"	"4"	"22"	"5"	"2"	"578"	"4"	"36"	"26"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"75"	"75"	"6"	"1"	"0"	"82"	"82"	"1"	"0"
"20604"	"4"	"22"	"5"	"2"	"578"	"1"	"15"	"9"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"32"	"32"	"3"	"0"	"0"	"35"	"35"	"1"	"0"
