"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FCN_NACION"	"UNE"	"COCIDISH"	"VIVA"	"COCISA"	"CONVERGENCIA"	"PPT"	"VAMOS"	"UNIONISTA"	"PHG"	"BIEN"	"MLP"	"PC"	"VALOR"	"CREO"	"LIBRE"	"TODOS"	"SEMILLA"	"UCN"	"EG"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11556"	"4"	"12"	"2"	"2"	"380"	"4"	"37"	"2"	"3"	"20"	"1"	"2"	"58"	"6"	"2"	"2"	"2"	"3"	"2"	"3"	"0"	"21"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"22"	"13"	"0"	"206"	"206"	"1"	"0"
"11557"	"4"	"12"	"2"	"2"	"249"	"5"	"24"	"2"	"2"	"12"	"0"	"2"	"28"	"9"	"4"	"1"	"0"	"1"	"0"	"2"	"0"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"13"	"5"	"0"	"117"	"117"	"1"	"0"
"11558"	"4"	"12"	"2"	"2"	"248"	"10"	"35"	"0"	"1"	"15"	"0"	"3"	"25"	"3"	"5"	"1"	"0"	"3"	"0"	"2"	"0"	"10"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"11"	"6"	"0"	"132"	"132"	"1"	"0"
"11559"	"4"	"12"	"2"	"2"	"380"	"3"	"18"	"0"	"11"	"9"	"3"	"3"	"58"	"8"	"1"	"46"	"2"	"44"	"1"	"3"	"1"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"21"	"6"	"1"	"244"	"244"	"1"	"0"
"11560"	"4"	"12"	"2"	"2"	"380"	"7"	"20"	"4"	"2"	"13"	"1"	"2"	"68"	"6"	"1"	"52"	"0"	"35"	"1"	"2"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"19"	"10"	"0"	"249"	"249"	"1"	"0"
"11561"	"4"	"12"	"2"	"2"	"376"	"5"	"25"	"1"	"2"	"9"	"0"	"4"	"46"	"9"	"1"	"55"	"1"	"32"	"1"	"4"	"2"	"2"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"17"	"13"	"0"	"239"	"239"	"1"	"0"
"11562"	"4"	"12"	"2"	"2"	"380"	"5"	"13"	"3"	"5"	"9"	"0"	"2"	"54"	"7"	"1"	"48"	"4"	"27"	"0"	"1"	"0"	"1"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"10"	"3"	"0"	"201"	"201"	"1"	"0"
"11563"	"4"	"12"	"2"	"2"	"378"	"2"	"24"	"3"	"1"	"12"	"1"	"3"	"59"	"5"	"2"	"54"	"1"	"27"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"9"	"12"	"0"	"220"	"220"	"1"	"0"
"11564"	"4"	"12"	"2"	"2"	"377"	"2"	"18"	"6"	"3"	"17"	"1"	"2"	"56"	"6"	"2"	"46"	"3"	"28"	"0"	"1"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"19"	"4"	"0"	"219"	"219"	"1"	"0"
"11565"	"4"	"12"	"2"	"2"	"205"	"1"	"6"	"2"	"1"	"5"	"0"	"1"	"19"	"5"	"0"	"22"	"0"	"12"	"2"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"82"	"82"	"12"	"6"	"0"	"100"	"100"	"1"	"0"
"11566"	"4"	"12"	"2"	"2"	"204"	"1"	"9"	"1"	"1"	"6"	"0"	"0"	"31"	"2"	"0"	"25"	"0"	"19"	"0"	"0"	"0"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"1"	"3"	"0"	"105"	"105"	"1"	"0"
"11567"	"4"	"12"	"2"	"2"	"376"	"3"	"14"	"5"	"2"	"7"	"0"	"5"	"80"	"0"	"5"	"2"	"0"	"24"	"0"	"2"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"12"	"11"	"0"	"177"	"177"	"1"	"0"
"11568"	"4"	"12"	"2"	"2"	"380"	"6"	"18"	"4"	"0"	"6"	"1"	"2"	"61"	"0"	"1"	"3"	"0"	"28"	"1"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"16"	"6"	"0"	"160"	"160"	"1"	"0"
"11569"	"4"	"12"	"2"	"2"	"380"	"5"	"18"	"2"	"1"	"12"	"0"	"8"	"48"	"0"	"2"	"6"	"1"	"25"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"10"	"5"	"0"	"148"	"148"	"1"	"0"
