"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"WINAQ"	"VAMOS"	"UNIONISTA"	"PAN"	"CONVERGENCIA"	"UNIDOS"	"VICTORIA"	"VALOR"	"VIVA"	"FUERZA"	"UCN"	"EG"	"PHG"	"AVANZA"	"PC"	"CREO"	"MLP"	"BIEN"	"LIBRE"	"SEMILLA"	"PPT"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4900"	"3"	"2"	"6"	"2"	"380"	"17"	"43"	"3"	"7"	"9"	"8"	"2"	"0"	"12"	"1"	"9"	"49"	"2"	"3"	"5"	"7"	"1"	"9"	"5"	"1"	"8"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"13"	"19"	"0"	"238"	"238"	"1"	"0"
"4901"	"3"	"2"	"6"	"2"	"380"	"27"	"41"	"13"	"5"	"1"	"19"	"9"	"0"	"10"	"1"	"3"	"52"	"3"	"2"	"4"	"5"	"2"	"8"	"2"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"13"	"14"	"1"	"244"	"244"	"1"	"0"
"4902"	"3"	"2"	"6"	"2"	"380"	"13"	"70"	"13"	"6"	"1"	"16"	"9"	"0"	"13"	"4"	"6"	"39"	"1"	"3"	"6"	"7"	"1"	"3"	"9"	"0"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"15"	"11"	"26"	"255"	"255"	"1"	"0"
"4903"	"3"	"2"	"6"	"2"	"380"	"14"	"49"	"16"	"8"	"4"	"9"	"3"	"0"	"8"	"4"	"2"	"28"	"4"	"1"	"5"	"3"	"2"	"11"	"4"	"1"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"18"	"12"	"0"	"217"	"217"	"1"	"0"
"4904"	"3"	"2"	"6"	"2"	"204"	"10"	"31"	"6"	"4"	"0"	"5"	"2"	"1"	"2"	"2"	"4"	"18"	"1"	"1"	"0"	"3"	"0"	"6"	"3"	"2"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"109"	"11"	"9"	"0"	"129"	"129"	"1"	"0"
"4905"	"3"	"2"	"6"	"2"	"204"	"5"	"30"	"10"	"4"	"2"	"2"	"2"	"1"	"4"	"5"	"5"	"21"	"0"	"0"	"6"	"4"	"0"	"7"	"2"	"2"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"10"	"11"	"0"	"141"	"141"	"1"	"0"
"4906"	"3"	"2"	"6"	"2"	"400"	"15"	"64"	"15"	"16"	"0"	"13"	"6"	"0"	"4"	"4"	"12"	"45"	"2"	"2"	"6"	"16"	"1"	"11"	"9"	"2"	"0"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"10"	"29"	"0"	"300"	"300"	"1"	"0"
"4907"	"3"	"2"	"6"	"2"	"349"	"19"	"32"	"11"	"8"	"1"	"30"	"0"	"0"	"3"	"3"	"4"	"25"	"1"	"1"	"4"	"6"	"2"	"7"	"9"	"3"	"0"	"21"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"15"	"17"	"0"	"225"	"225"	"1"	"0"
"4908"	"3"	"2"	"6"	"2"	"349"	"20"	"47"	"8"	"5"	"2"	"15"	"2"	"1"	"1"	"2"	"10"	"25"	"1"	"1"	"2"	"16"	"1"	"4"	"5"	"0"	"1"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"14"	"10"	"0"	"221"	"221"	"1"	"0"
"4909"	"3"	"2"	"6"	"2"	"559"	"11"	"25"	"7"	"4"	"3"	"5"	"4"	"0"	"3"	"1"	"8"	"29"	"1"	"2"	"2"	"3"	"0"	"3"	"6"	"0"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"15"	"33"	"0"	"177"	"177"	"1"	"0"
"4910"	"3"	"2"	"6"	"2"	"559"	"10"	"40"	"7"	"6"	"4"	"4"	"1"	"0"	"1"	"3"	"11"	"25"	"3"	"2"	"3"	"3"	"3"	"7"	"5"	"2"	"6"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"16"	"42"	"0"	"213"	"213"	"1"	"0"
"4911"	"3"	"2"	"7"	"2"	"400"	"22"	"39"	"11"	"11"	"8"	"9"	"3"	"1"	"4"	"4"	"24"	"9"	"1"	"1"	"11"	"1"	"32"	"2"	"34"	"6"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"30"	"15"	"0"	"295"	"295"	"1"	"0"
"4912"	"3"	"2"	"7"	"2"	"400"	"23"	"26"	"7"	"14"	"11"	"9"	"1"	"1"	"2"	"3"	"20"	"10"	"5"	"2"	"9"	"1"	"41"	"10"	"37"	"4"	"0"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"23"	"16"	"0"	"289"	"289"	"1"	"0"
"4913"	"3"	"2"	"7"	"2"	"398"	"15"	"31"	"14"	"13"	"8"	"15"	"1"	"0"	"3"	"3"	"14"	"13"	"2"	"3"	"8"	"1"	"35"	"8"	"37"	"3"	"3"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"43"	"14"	"0"	"301"	"301"	"1"	"0"
"4914"	"3"	"2"	"7"	"2"	"400"	"22"	"34"	"12"	"14"	"7"	"6"	"1"	"2"	"4"	"5"	"23"	"6"	"0"	"2"	"12"	"1"	"32"	"11"	"42"	"4"	"0"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"28"	"14"	"0"	"297"	"297"	"1"	"0"
"4915"	"3"	"2"	"7"	"2"	"400"	"9"	"29"	"9"	"14"	"10"	"7"	"3"	"0"	"2"	"6"	"17"	"6"	"0"	"4"	"17"	"0"	"24"	"4"	"50"	"1"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"31"	"10"	"0"	"270"	"270"	"1"	"0"
"4916"	"3"	"2"	"7"	"2"	"400"	"16"	"31"	"11"	"14"	"12"	"7"	"1"	"0"	"1"	"2"	"18"	"4"	"2"	"2"	"15"	"0"	"39"	"6"	"39"	"6"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"30"	"11"	"0"	"281"	"281"	"1"	"0"
"4917"	"3"	"2"	"7"	"2"	"400"	"11"	"37"	"12"	"14"	"8"	"11"	"2"	"2"	"3"	"11"	"21"	"3"	"1"	"6"	"17"	"1"	"28"	"7"	"28"	"2"	"1"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"32"	"13"	"0"	"290"	"290"	"1"	"0"
"4918"	"3"	"2"	"7"	"2"	"397"	"14"	"40"	"5"	"9"	"9"	"6"	"1"	"0"	"7"	"9"	"20"	"8"	"1"	"2"	"11"	"2"	"28"	"7"	"36"	"5"	"3"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"24"	"11"	"0"	"273"	"273"	"1"	"0"
"4919"	"3"	"2"	"7"	"2"	"400"	"10"	"32"	"6"	"8"	"11"	"7"	"2"	"1"	"7"	"3"	"12"	"6"	"1"	"5"	"12"	"3"	"32"	"8"	"33"	"2"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"36"	"18"	"0"	"270"	"270"	"1"	"0"
"4920"	"3"	"2"	"7"	"2"	"400"	"13"	"34"	"18"	"10"	"6"	"13"	"7"	"1"	"5"	"5"	"15"	"8"	"3"	"2"	"13"	"0"	"30"	"4"	"43"	"2"	"1"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"25"	"9"	"0"	"281"	"281"	"1"	"0"
"4921"	"3"	"2"	"7"	"2"	"210"	"8"	"25"	"9"	"9"	"3"	"4"	"1"	"2"	"4"	"3"	"6"	"7"	"0"	"2"	"9"	"0"	"13"	"3"	"20"	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"16"	"6"	"0"	"160"	"160"	"1"	"0"
"4922"	"3"	"2"	"7"	"2"	"209"	"5"	"24"	"4"	"6"	"8"	"4"	"1"	"0"	"3"	"0"	"4"	"5"	"1"	"0"	"10"	"3"	"16"	"2"	"29"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"11"	"3"	"0"	"143"	"143"	"1"	"0"
"4923"	"3"	"2"	"7"	"2"	"281"	"7"	"11"	"7"	"9"	"4"	"6"	"0"	"0"	"1"	"0"	"6"	"0"	"0"	"2"	"3"	"1"	"13"	"3"	"25"	"0"	"2"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"109"	"20"	"9"	"0"	"138"	"138"	"1"	"0"
"4924"	"3"	"2"	"8"	"2"	"400"	"27"	"18"	"13"	"14"	"11"	"15"	"3"	"0"	"5"	"7"	"15"	"14"	"2"	"6"	"10"	"1"	"1"	"26"	"6"	"3"	"5"	"38"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"31"	"14"	"0"	"286"	"286"	"1"	"0"
