"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"WINAQ"	"TODOS"	"FUERZA"	"UNE"	"MLP"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13441"	"4"	"13"	"8"	"2"	"400"	"8"	"7"	"45"	"62"	"29"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"3"	"0"	"0"	"155"	"155"	"1"	"0"
"13442"	"4"	"13"	"8"	"2"	"258"	"5"	"6"	"37"	"28"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"6"	"0"	"0"	"99"	"99"	"1"	"0"
"13443"	"4"	"13"	"8"	"2"	"261"	"6"	"3"	"42"	"41"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"5"	"2"	"0"	"108"	"108"	"1"	"0"
"13444"	"4"	"13"	"8"	"2"	"362"	"7"	"6"	"88"	"16"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"4"	"15"	"0"	"154"	"154"	"1"	"0"
"13445"	"4"	"13"	"8"	"2"	"362"	"8"	"6"	"91"	"13"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"2"	"4"	"0"	"135"	"135"	"1"	"0"
"13446"	"4"	"13"	"8"	"1"	"380"	"10"	"5"	"44"	"46"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"12"	"9"	"0"	"138"	"138"	"1"	"0"
"13447"	"4"	"13"	"8"	"1"	"380"	"7"	"8"	"48"	"54"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"6"	"3"	"0"	"143"	"143"	"1"	"0"
"13448"	"4"	"13"	"8"	"1"	"380"	"8"	"10"	"54"	"59"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"6"	"8"	"0"	"150"	"150"	"1"	"0"
"13449"	"4"	"13"	"8"	"1"	"283"	"6"	"11"	"42"	"28"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"3"	"3"	"0"	"104"	"104"	"1"	"0"
"13450"	"4"	"13"	"8"	"1"	"282"	"10"	"7"	"40"	"44"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"2"	"2"	"0"	"116"	"116"	"1"	"0"
"13451"	"4"	"13"	"8"	"2"	"380"	"17"	"7"	"11"	"42"	"8"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"95"	"95"	"10"	"8"	"0"	"113"	"113"	"1"	"0"
