"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"CREO"	"TODOS"	"VICTORIA"	"UNE"	"WINAQ"	"PC"	"LIBRE"	"URNG_MAIZ"	"PODEMOS"	"PPT"	"CONVERGENCIA"	"FUERZA"	"MLP"	"VIVA"	"UNIONISTA"	"VALOR"	"SEMILLA"	"FCN_NACION"	"UNIDOS"	"BIEN"	"PHG"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6371"	"4"	"5"	"1"	"2"	"398"	"19"	"8"	"19"	"15"	"58"	"39"	"3"	"2"	"6"	"6"	"3"	"1"	"1"	"3"	"1"	"4"	"2"	"2"	"7"	"6"	"4"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"8"	"4"	"0"	"239"	"239"	"1"	"0"
"6372"	"4"	"5"	"1"	"2"	"404"	"16"	"3"	"23"	"14"	"53"	"45"	"2"	"4"	"2"	"7"	"2"	"0"	"2"	"1"	"0"	"7"	"2"	"1"	"4"	"10"	"1"	"22"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"7"	"0"	"0"	"237"	"237"	"1"	"0"
"6373"	"4"	"5"	"1"	"2"	"400"	"16"	"9"	"14"	"8"	"54"	"36"	"1"	"3"	"10"	"6"	"3"	"0"	"1"	"3"	"2"	"6"	"3"	"5"	"10"	"11"	"0"	"30"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"246"	"11"	"3"	"14"	"261"	"260"	"0"	"0"
"6374"	"4"	"5"	"1"	"2"	"400"	"22"	"6"	"15"	"16"	"61"	"31"	"4"	"1"	"3"	"6"	"4"	"1"	"1"	"0"	"0"	"9"	"1"	"1"	"4"	"12"	"1"	"19"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"228"	"16"	"2"	"0"	"256"	"246"	"0"	"0"
"6375"	"4"	"5"	"1"	"2"	"400"	"12"	"10"	"27"	"17"	"61"	"51"	"3"	"2"	"4"	"6"	"2"	"1"	"0"	"3"	"1"	"5"	"0"	"5"	"7"	"12"	"0"	"24"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"11"	"4"	"15"	"260"	"275"	"0"	"0"
"6376"	"4"	"5"	"1"	"2"	"504"	"11"	"6"	"21"	"16"	"63"	"43"	"1"	"0"	"3"	"3"	"1"	"0"	"0"	"3"	"2"	"5"	"1"	"0"	"6"	"16"	"0"	"20"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"18"	"5"	"0"	"255"	"255"	"1"	"0"
"6377"	"4"	"5"	"1"	"2"	"400"	"12"	"5"	"17"	"12"	"57"	"38"	"3"	"4"	"9"	"5"	"4"	"0"	"1"	"4"	"2"	"1"	"1"	"6"	"5"	"13"	"1"	"18"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"15"	"5"	"0"	"246"	"246"	"1"	"0"
"6378"	"4"	"5"	"1"	"2"	"400"	"12"	"6"	"18"	"14"	"58"	"41"	"0"	"2"	"6"	"3"	"1"	"0"	"1"	"2"	"4"	"3"	"2"	"3"	"14"	"0"	"20"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"222"	"14"	"0"	"0"	"233"	"236"	"0"	"0"
"6379"	"4"	"5"	"1"	"2"	"400"	"11"	"8"	"28"	"11"	"54"	"45"	"1"	"3"	"7"	"5"	"4"	"1"	"0"	"6"	"1"	"6"	"0"	"2"	"10"	"8"	"0"	"16"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"11"	"1"	"1"	"245"	"245"	"1"	"1"
"6380"	"4"	"5"	"1"	"2"	"425"	"15"	"3"	"20"	"6"	"56"	"54"	"1"	"2"	"4"	"5"	"1"	"0"	"0"	"0"	"1"	"10"	"2"	"4"	"5"	"10"	"1"	"16"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"11"	"3"	"0"	"239"	"239"	"1"	"0"
