"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"UCN"	"VALOR"	"PHG"	"VAMOS"	"TODOS"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15480"	"4"	"14"	"16"	"2"	"257"	"63"	"7"	"2"	"39"	"8"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"6"	"0"	"0"	"128"	"128"	"1"	"0"
"15481"	"4"	"14"	"16"	"2"	"256"	"60"	"8"	"3"	"47"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"1"	"5"	"0"	"128"	"128"	"1"	"0"
"15482"	"4"	"14"	"16"	"2"	"380"	"133"	"74"	"2"	"16"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"13"	"15"	"0"	"258"	"258"	"1"	"0"
"15483"	"4"	"14"	"16"	"2"	"380"	"161"	"48"	"4"	"14"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"17"	"10"	"0"	"263"	"263"	"1"	"0"
"15484"	"4"	"14"	"16"	"2"	"380"	"138"	"70"	"5"	"17"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"13"	"12"	"0"	"270"	"270"	"1"	"0"
"15485"	"4"	"14"	"16"	"2"	"380"	"123"	"65"	"2"	"36"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"10"	"7"	"0"	"253"	"253"	"1"	"0"
"15486"	"4"	"14"	"16"	"2"	"400"	"115"	"60"	"2"	"16"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"17"	"9"	"0"	"228"	"228"	"1"	"0"
"15487"	"4"	"14"	"16"	"2"	"380"	"125"	"67"	"2"	"26"	"11"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"17"	"6"	"0"	"257"	"257"	"1"	"0"
"15488"	"4"	"14"	"16"	"2"	"400"	"153"	"58"	"4"	"17"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"12"	"15"	"0"	"267"	"267"	"1"	"0"
"15489"	"4"	"14"	"16"	"2"	"250"	"100"	"34"	"1"	"10"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"1"	"12"	"0"	"165"	"165"	"1"	"0"
"15490"	"4"	"14"	"16"	"2"	"249"	"86"	"60"	"1"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"5"	"1"	"0"	"173"	"173"	"1"	"0"
"15491"	"4"	"14"	"16"	"2"	"380"	"76"	"73"	"0"	"42"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"11"	"13"	"0"	"220"	"220"	"1"	"0"
"15492"	"4"	"14"	"16"	"2"	"380"	"92"	"77"	"5"	"46"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"6"	"13"	"0"	"243"	"243"	"1"	"0"
"15493"	"4"	"14"	"16"	"2"	"241"	"50"	"37"	"1"	"17"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"11"	"5"	"0"	"124"	"124"	"1"	"0"
"15494"	"4"	"14"	"16"	"2"	"240"	"49"	"44"	"1"	"28"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"6"	"3"	"0"	"132"	"132"	"1"	"0"
"15495"	"4"	"14"	"16"	"2"	"472"	"6"	"13"	"2"	"45"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"76"	"76"	"7"	"6"	"0"	"89"	"89"	"1"	"0"
"15496"	"4"	"14"	"16"	"2"	"470"	"32"	"7"	"2"	"26"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	"72"	"3"	"3"	"0"	"78"	"78"	"1"	"0"
