"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"WINAQ"	"FUERZA"	"VAMOS"	"VALOR"	"PPT"	"PC"	"TODOS"	"PHG"	"FDA"	"VIVA"	"URNG_MAIZ"	"PODEMOS"	"PAN"	"UNIONISTA"	"SEMILLA"	"BIEN"	"UCN"	"FCN_NACION"	"LIBRE"	"UNE"	"AVANZA"	"UNIDOS"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9173"	"4"	"9"	"1"	"2"	"301"	"13"	"10"	"37"	"8"	"28"	"3"	"8"	"2"	"39"	"4"	"13"	"2"	"7"	"4"	"0"	"12"	"4"	"18"	"2"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"5"	"1"	"0"	"226"	"226"	"1"	"0"
"9174"	"4"	"9"	"1"	"2"	"400"	"22"	"14"	"32"	"20"	"17"	"2"	"15"	"1"	"38"	"8"	"18"	"4"	"5"	"11"	"5"	"10"	"4"	"11"	"2"	"8"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"13"	"3"	"0"	"269"	"269"	"1"	"0"
"9175"	"4"	"9"	"1"	"2"	"400"	"25"	"8"	"24"	"17"	"14"	"2"	"15"	"3"	"59"	"3"	"14"	"6"	"13"	"12"	"4"	"13"	"4"	"12"	"2"	"4"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"10"	"1"	"1"	"272"	"272"	"1"	"0"
"9176"	"4"	"9"	"1"	"2"	"400"	"18"	"12"	"25"	"14"	"17"	"5"	"10"	"3"	"55"	"8"	"8"	"5"	"8"	"11"	"2"	"11"	"8"	"12"	"4"	"10"	"8"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"18"	"5"	"0"	"282"	"282"	"1"	"0"
"9177"	"4"	"9"	"1"	"2"	"400"	"19"	"15"	"23"	"11"	"31"	"2"	"10"	"4"	"64"	"4"	"2"	"3"	"8"	"6"	"6"	"7"	"3"	"5"	"3"	"4"	"4"	"8"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"23"	"2"	"0"	"283"	"283"	"1"	"0"
"9178"	"4"	"9"	"1"	"2"	"400"	"18"	"12"	"34"	"21"	"17"	"2"	"7"	"5"	"50"	"6"	"17"	"5"	"10"	"9"	"0"	"10"	"7"	"11"	"2"	"6"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"10"	"3"	"0"	"274"	"274"	"1"	"0"
"9179"	"4"	"9"	"1"	"2"	"400"	"21"	"14"	"21"	"9"	"12"	"2"	"7"	"0"	"66"	"7"	"8"	"7"	"9"	"8"	"3"	"8"	"4"	"14"	"4"	"2"	"5"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"13"	"4"	"0"	"252"	"252"	"1"	"0"
"9180"	"4"	"9"	"1"	"2"	"400"	"16"	"19"	"36"	"16"	"19"	"5"	"1"	"61"	"5"	"19"	"2"	"5"	"9"	"4"	"10"	"10"	"5"	"10"	"2"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"15"	"5"	"0"	"284"	"284"	"1"	"0"
"9181"	"4"	"9"	"1"	"2"	"0"	"12"	"15"	"26"	"9"	"34"	"2"	"19"	"2"	"41"	"5"	"13"	"5"	"4"	"10"	"1"	"9"	"5"	"13"	"1"	"7"	"5"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"11"	"0"	"0"	"255"	"255"	"1"	"0"
"9182"	"4"	"9"	"1"	"2"	"400"	"19"	"16"	"26"	"10"	"25"	"2"	"4"	"2"	"43"	"1"	"16"	"6"	"6"	"5"	"1"	"15"	"4"	"11"	"2"	"10"	"8"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"12"	"1"	"0"	"248"	"248"	"1"	"0"
