"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"PC"	"UNE"	"TODOS"	"VIVA"	"URNG_MAIZ"	"EG"	"CONVERGENCIA"	"VALOR"	"SEMILLA"	"FUERZA"	"UCN"	"BIEN"	"PODEMOS"	"PHG"	"FCN_NACION"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14531"	"4"	"14"	"1"	"2"	"0"	"25"	"39"	"81"	"4"	"29"	"7"	"5"	"8"	"17"	"11"	"3"	"5"	"18"	"1"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"0"	"0"	"0"	"0"	"266"	"0"	"0"
"14532"	"4"	"14"	"1"	"2"	"396"	"26"	"30"	"85"	"6"	"37"	"4"	"6"	"4"	"18"	"6"	"5"	"11"	"6"	"3"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"29"	"4"	"0"	"297"	"297"	"1"	"0"
"14533"	"4"	"14"	"1"	"2"	"0"	"24"	"57"	"65"	"3"	"23"	"6"	"5"	"2"	"18"	"5"	"1"	"4"	"9"	"1"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"7"	"5"	"0"	"246"	"246"	"1"	"0"
"14534"	"4"	"14"	"1"	"2"	"400"	"22"	"55"	"59"	"3"	"24"	"3"	"3"	"14"	"22"	"7"	"3"	"9"	"7"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"4"	"3"	"0"	"247"	"246"	"0"	"0"
"14535"	"4"	"14"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14536"	"4"	"14"	"1"	"2"	"400"	"25"	"47"	"65"	"3"	"21"	"5"	"2"	"3"	"27"	"11"	"5"	"3"	"4"	"1"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"16"	"10"	"0"	"256"	"256"	"1"	"0"
"14537"	"4"	"14"	"1"	"2"	"0"	"29"	"48"	"78"	"6"	"30"	"6"	"2"	"3"	"15"	"7"	"4"	"10"	"8"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"16"	"7"	"1"	"277"	"277"	"1"	"0"
"14538"	"4"	"14"	"1"	"2"	"0"	"20"	"49"	"60"	"6"	"34"	"3"	"2"	"7"	"16"	"9"	"4"	"3"	"13"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"8"	"8"	"0"	"252"	"252"	"1"	"0"
"14539"	"4"	"14"	"1"	"2"	"396"	"13"	"44"	"90"	"9"	"26"	"6"	"6"	"10"	"15"	"9"	"4"	"4"	"4"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"15"	"10"	"0"	"274"	"274"	"1"	"0"
"14540"	"4"	"14"	"1"	"2"	"393"	"18"	"51"	"63"	"0"	"27"	"6"	"5"	"8"	"26"	"10"	"5"	"4"	"9"	"1"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"12"	"9"	"0"	"263"	"263"	"1"	"0"
"14541"	"4"	"14"	"1"	"2"	"0"	"25"	"51"	"55"	"12"	"25"	"5"	"6"	"4"	"14"	"5"	"4"	"4"	"6"	"0"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"15"	"7"	"0"	"249"	"249"	"1"	"0"
"14542"	"4"	"14"	"1"	"2"	"396"	"18"	"26"	"50"	"6"	"24"	"7"	"3"	"6"	"27"	"6"	"6"	"3"	"11"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"8"	"14"	"0"	"225"	"225"	"1"	"0"
"14543"	"4"	"14"	"1"	"2"	"400"	"23"	"34"	"83"	"1"	"27"	"3"	"6"	"3"	"27"	"9"	"3"	"4"	"7"	"0"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"10"	"4"	"0"	"260"	"260"	"1"	"0"
"14544"	"4"	"14"	"1"	"2"	"400"	"25"	"50"	"76"	"6"	"28"	"3"	"5"	"4"	"40"	"9"	"4"	"3"	"8"	"1"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"6"	"5"	"0"	"285"	"285"	"1"	"0"
"14545"	"4"	"14"	"1"	"2"	"353"	"19"	"55"	"81"	"7"	"27"	"4"	"2"	"2"	"24"	"6"	"4"	"1"	"11"	"2"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"5"	"2"	"0"	"263"	"263"	"1"	"0"
"14546"	"4"	"14"	"1"	"2"	"349"	"8"	"48"	"65"	"5"	"11"	"2"	"6"	"2"	"23"	"4"	"7"	"4"	"6"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"3"	"5"	"0"	"211"	"211"	"1"	"0"
"14547"	"4"	"14"	"1"	"2"	"377"	"54"	"44"	"104"	"1"	"4"	"11"	"2"	"2"	"2"	"2"	"2"	"5"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"17"	"18"	"0"	"271"	"271"	"1"	"0"
"14548"	"4"	"14"	"1"	"2"	"380"	"72"	"27"	"128"	"2"	"0"	"6"	"3"	"2"	"1"	"3"	"2"	"12"	"1"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"23"	"24"	"0"	"312"	"312"	"1"	"0"
"14549"	"4"	"14"	"1"	"2"	"376"	"51"	"45"	"116"	"1"	"1"	"10"	"1"	"4"	"1"	"3"	"4"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"24"	"21"	"0"	"286"	"286"	"1"	"0"
"14550"	"4"	"14"	"1"	"2"	"373"	"68"	"33"	"77"	"2"	"1"	"13"	"3"	"1"	"2"	"5"	"4"	"3"	"0"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"17"	"20"	"0"	"256"	"256"	"1"	"0"
"14551"	"4"	"14"	"1"	"2"	"376"	"51"	"29"	"80"	"2"	"0"	"15"	"4"	"5"	"2"	"3"	"9"	"11"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"25"	"15"	"0"	"257"	"257"	"1"	"0"
