"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CUM"	"VIVA"	"EG"	"UNE"	"BIEN"	"PHG"	"UNIONISTA"	"MLP"	"VALOR"	"CREO"	"TODOS"	"FCN_NACION"	"UCN"	"SEMILLA"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11439"	"4"	"12"	"1"	"2"	"347"	"82"	"2"	"29"	"14"	"7"	"18"	"3"	"1"	"2"	"24"	"11"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"2"	"1"	"0"	"208"	"208"	"1"	"0"
"11440"	"4"	"12"	"1"	"2"	"400"	"120"	"9"	"31"	"33"	"3"	"1"	"3"	"1"	"3"	"26"	"12"	"19"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"13"	"10"	"0"	"292"	"292"	"1"	"0"
"11441"	"4"	"12"	"1"	"2"	"285"	"141"	"6"	"38"	"29"	"6"	"3"	"6"	"0"	"5"	"23"	"15"	"9"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"8"	"8"	"0"	"303"	"303"	"1"	"0"
"11442"	"4"	"12"	"1"	"2"	"400"	"137"	"2"	"36"	"22"	"3"	"5"	"4"	"0"	"2"	"25"	"18"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"7"	"3"	"0"	"276"	"276"	"1"	"0"
"11443"	"4"	"12"	"1"	"2"	"380"	"138"	"2"	"33"	"25"	"6"	"2"	"3"	"2"	"5"	"31"	"18"	"8"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"6"	"3"	"0"	"290"	"290"	"1"	"0"
"11444"	"4"	"12"	"1"	"2"	"400"	"111"	"9"	"25"	"18"	"8"	"3"	"3"	"0"	"6"	"25"	"18"	"13"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"7"	"4"	"0"	"255"	"255"	"1"	"0"
"11445"	"4"	"12"	"1"	"2"	"384"	"113"	"2"	"33"	"32"	"8"	"2"	"3"	"0"	"3"	"18"	"20"	"21"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"7"	"4"	"0"	"277"	"277"	"1"	"0"
"11446"	"4"	"12"	"1"	"2"	"404"	"125"	"8"	"33"	"26"	"5"	"7"	"6"	"1"	"2"	"25"	"9"	"9"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"12"	"3"	"0"	"279"	"279"	"1"	"0"
"11447"	"4"	"12"	"1"	"2"	"380"	"138"	"7"	"28"	"33"	"3"	"3"	"7"	"0"	"6"	"26"	"20"	"15"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"5"	"2"	"0"	"303"	"303"	"1"	"0"
"11448"	"4"	"12"	"1"	"2"	"410"	"97"	"4"	"28"	"30"	"6"	"4"	"10"	"0"	"5"	"20"	"10"	"14"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"7"	"0"	"0"	"241"	"241"	"1"	"0"
"11449"	"4"	"12"	"1"	"2"	"330"	"103"	"5"	"28"	"17"	"8"	"3"	"9"	"1"	"2"	"14"	"9"	"12"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"4"	"1"	"0"	"222"	"222"	"1"	"0"
"11450"	"4"	"12"	"1"	"2"	"328"	"108"	"5"	"21"	"14"	"6"	"5"	"5"	"3"	"3"	"22"	"14"	"8"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"6"	"2"	"0"	"227"	"227"	"1"	"0"
"11451"	"4"	"12"	"1"	"2"	"380"	"68"	"1"	"21"	"52"	"2"	"1"	"2"	"2"	"6"	"18"	"3"	"32"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"11"	"6"	"0"	"227"	"227"	"1"	"0"
"11452"	"4"	"12"	"1"	"2"	"380"	"52"	"2"	"21"	"75"	"1"	"2"	"7"	"1"	"10"	"31"	"2"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"12"	"6"	"0"	"244"	"244"	"1"	"0"
"11453"	"4"	"12"	"1"	"2"	"380"	"53"	"2"	"32"	"43"	"1"	"1"	"4"	"1"	"14"	"14"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"15"	"4"	"0"	"204"	"204"	"1"	"0"
"11454"	"4"	"12"	"1"	"2"	"272"	"42"	"2"	"17"	"30"	"0"	"3"	"5"	"0"	"7"	"11"	"0"	"23"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"3"	"3"	"0"	"148"	"148"	"1"	"0"
"11455"	"4"	"12"	"1"	"2"	"274"	"40"	"1"	"13"	"23"	"2"	"1"	"3"	"0"	"7"	"17"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"118"	"118"	"2"	"10"	"0"	"130"	"130"	"1"	"0"
"11456"	"4"	"12"	"1"	"2"	"380"	"42"	"3"	"27"	"56"	"1"	"3"	"1"	"0"	"1"	"39"	"2"	"42"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"14"	"3"	"0"	"238"	"238"	"1"	"0"
"11457"	"4"	"12"	"1"	"2"	"380"	"43"	"1"	"22"	"59"	"0"	"4"	"5"	"0"	"0"	"30"	"1"	"41"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"25"	"10"	"0"	"242"	"242"	"1"	"1"
"11458"	"4"	"12"	"1"	"2"	"380"	"45"	"0"	"21"	"66"	"4"	"4"	"4"	"1"	"2"	"30"	"3"	"54"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"18"	"12"	"0"	"266"	"266"	"1"	"0"
"11459"	"4"	"12"	"1"	"2"	"380"	"40"	"2"	"24"	"69"	"1"	"3"	"3"	"1"	"2"	"34"	"1"	"51"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"19"	"5"	"0"	"258"	"258"	"1"	"0"
