"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"FCN_NACION"	"CREO"	"SEMILLA"	"CCP"	"PC"	"EG"	"VICTORIA"	"LIBRE"	"BIEN"	"MLP"	"TODOS"	"FUERZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18383"	"4"	"18"	"1"	"2"	"380"	"14"	"16"	"8"	"12"	"3"	"3"	"40"	"1"	"110"	"4"	"0"	"7"	"6"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"9"	"3"	"1"	"242"	"242"	"1"	"0"
"18384"	"4"	"18"	"1"	"2"	"377"	"13"	"25"	"6"	"16"	"5"	"2"	"49"	"0"	"102"	"4"	"2"	"3"	"6"	"4"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"5"	"5"	"0"	"256"	"256"	"1"	"0"
"18385"	"4"	"18"	"1"	"2"	"380"	"15"	"21"	"9"	"8"	"1"	"2"	"24"	"1"	"127"	"3"	"1"	"7"	"15"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"7"	"5"	"0"	"256"	"256"	"1"	"0"
"18386"	"4"	"18"	"1"	"2"	"377"	"15"	"14"	"7"	"18"	"1"	"1"	"43"	"1"	"127"	"6"	"0"	"0"	"10"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"11"	"2"	"0"	"262"	"262"	"1"	"0"
"18387"	"4"	"18"	"1"	"2"	"380"	"15"	"22"	"6"	"10"	"2"	"2"	"37"	"1"	"111"	"3"	"4"	"5"	"7"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"11"	"2"	"0"	"243"	"243"	"1"	"0"
"18388"	"4"	"18"	"1"	"2"	"380"	"13"	"16"	"6"	"11"	"2"	"2"	"27"	"3"	"135"	"6"	"0"	"6"	"10"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"10"	"1"	"0"	"254"	"254"	"1"	"0"
"18389"	"4"	"18"	"1"	"2"	"380"	"11"	"24"	"6"	"13"	"2"	"2"	"31"	"2"	"106"	"7"	"0"	"3"	"6"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"12"	"4"	"0"	"235"	"235"	"1"	"0"
"18390"	"4"	"18"	"1"	"2"	"380"	"14"	"21"	"4"	"9"	"3"	"3"	"34"	"2"	"121"	"3"	"0"	"4"	"13"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"9"	"3"	"0"	"247"	"247"	"1"	"0"
"18391"	"4"	"18"	"1"	"2"	"380"	"9"	"21"	"3"	"11"	"0"	"1"	"32"	"0"	"122"	"8"	"0"	"5"	"7"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"13"	"4"	"0"	"244"	"244"	"1"	"0"
"18392"	"4"	"18"	"1"	"2"	"380"	"8"	"25"	"4"	"14"	"0"	"1"	"32"	"4"	"105"	"6"	"1"	"6"	"5"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"12"	"4"	"2"	"232"	"232"	"1"	"2"
"18393"	"4"	"18"	"1"	"2"	"380"	"12"	"17"	"4"	"7"	"3"	"3"	"30"	"2"	"106"	"6"	"1"	"4"	"8"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"9"	"5"	"0"	"226"	"226"	"1"	"0"
