"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VAMOS"	"VICTORIA"	"UNIONISTA"	"VALOR"	"SANTIAGO_DE_LOS_CABALLEROS"	"VIVA"	"FUERZA"	"PHG"	"SOS"	"CREO"	"EG"	"PC"	"MLP"	"CAMBIO"	"PPT"	"LIBRE"	"SEMILLA"	"UCN"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4692"	"4"	"2"	"1"	"2"	"235"	"12"	"27"	"4"	"4"	"11"	"6"	"8"	"2"	"2"	"1"	"6"	"0"	"3"	"5"	"0"	"32"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"5"	"2"	"3"	"134"	"134"	"1"	"0"
"4693"	"4"	"2"	"1"	"2"	"400"	"35"	"33"	"13"	"4"	"27"	"7"	"33"	"14"	"11"	"3"	"20"	"6"	"4"	"15"	"1"	"38"	"3"	"9"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"10"	"4"	"0"	"298"	"298"	"1"	"0"
"4694"	"4"	"2"	"1"	"2"	"399"	"30"	"45"	"10"	"2"	"31"	"8"	"34"	"15"	"8"	"2"	"28"	"2"	"1"	"21"	"7"	"29"	"2"	"5"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"10"	"4"	"0"	"302"	"302"	"1"	"0"
"4695"	"4"	"2"	"1"	"2"	"400"	"38"	"43"	"12"	"8"	"32"	"8"	"19"	"9"	"11"	"1"	"19"	"5"	"5"	"15"	"1"	"49"	"1"	"6"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"10"	"1"	"0"	"300"	"300"	"1"	"0"
"4696"	"4"	"2"	"1"	"2"	"396"	"27"	"39"	"4"	"4"	"43"	"5"	"27"	"6"	"11"	"2"	"18"	"7"	"3"	"19"	"2"	"32"	"3"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"6"	"2"	"0"	"271"	"271"	"1"	"0"
"4697"	"4"	"2"	"1"	"2"	"400"	"39"	"42"	"14"	"1"	"32"	"8"	"28"	"8"	"8"	"2"	"19"	"3"	"3"	"12"	"3"	"28"	"3"	"17"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"5"	"8"	"0"	"288"	"288"	"1"	"0"
"4698"	"4"	"2"	"1"	"2"	"400"	"39"	"48"	"10"	"5"	"32"	"6"	"24"	"15"	"7"	"6"	"18"	"7"	"2"	"12"	"3"	"27"	"1"	"11"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"11"	"2"	"0"	"290"	"290"	"1"	"0"
"4699"	"4"	"2"	"1"	"2"	"496"	"40"	"33"	"11"	"2"	"31"	"9"	"29"	"10"	"7"	"4"	"23"	"11"	"5"	"13"	"3"	"27"	"6"	"16"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"6"	"7"	"0"	"297"	"297"	"1"	"0"
"4700"	"4"	"2"	"1"	"2"	"400"	"51"	"23"	"12"	"3"	"29"	"9"	"20"	"11"	"8"	"3"	"20"	"4"	"1"	"16"	"3"	"38"	"3"	"7"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"4"	"1"	"0"	"270"	"270"	"1"	"0"
"4701"	"4"	"2"	"1"	"2"	"277"	"30"	"29"	"4"	"2"	"20"	"5"	"17"	"5"	"4"	"2"	"12"	"2"	"4"	"9"	"3"	"19"	"2"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"9"	"2"	"0"	"188"	"188"	"1"	"0"
