"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PHG"	"VAMOS"	"UCN"	"URNG_MAIZ"	"FUERZA"	"PC"	"PPT"	"TODOS"	"FCN_NACION"	"UNIONISTA"	"UNE"	"SEMILLA"	"CREO"	"PAN"	"VALOR"	"VIVA"	"CONVERGENCIA"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12960"	"4"	"13"	"1"	"2"	"400"	"6"	"101"	"24"	"1"	"8"	"15"	"2"	"5"	"29"	"10"	"9"	"6"	"2"	"2"	"3"	"9"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"11"	"3"	"0"	"250"	"250"	"1"	"0"
"12961"	"4"	"13"	"1"	"2"	"400"	"9"	"83"	"14"	"5"	"7"	"25"	"2"	"7"	"56"	"12"	"3"	"9"	"2"	"1"	"9"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"13"	"4"	"0"	"271"	"271"	"1"	"0"
"12962"	"4"	"13"	"1"	"2"	"400"	"7"	"61"	"20"	"5"	"3"	"24"	"10"	"5"	"42"	"10"	"7"	"4"	"0"	"3"	"9"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"12"	"3"	"0"	"235"	"235"	"1"	"0"
"12963"	"4"	"13"	"1"	"2"	"394"	"4"	"68"	"23"	"5"	"3"	"22"	"1"	"4"	"34"	"9"	"6"	"11"	"0"	"2"	"10"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"4"	"2"	"0"	"214"	"214"	"1"	"0"
"12964"	"4"	"13"	"1"	"2"	"400"	"9"	"79"	"20"	"3"	"3"	"18"	"2"	"4"	"33"	"10"	"9"	"10"	"4"	"5"	"5"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"13"	"7"	"0"	"242"	"242"	"1"	"0"
"12965"	"4"	"13"	"1"	"2"	"396"	"8"	"77"	"16"	"5"	"5"	"18"	"1"	"3"	"44"	"5"	"7"	"10"	"0"	"4"	"5"	"3"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"12"	"0"	"0"	"232"	"232"	"1"	"0"
"12966"	"4"	"13"	"1"	"2"	"400"	"5"	"95"	"26"	"4"	"4"	"30"	"2"	"5"	"26"	"6"	"3"	"6"	"2"	"4"	"5"	"6"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"7"	"2"	"0"	"251"	"251"	"1"	"0"
"12967"	"4"	"13"	"1"	"2"	"396"	"5"	"80"	"22"	"5"	"5"	"24"	"4"	"5"	"34"	"9"	"7"	"6"	"2"	"5"	"17"	"5"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"11"	"3"	"0"	"255"	"255"	"1"	"0"
"12968"	"4"	"13"	"1"	"2"	"396"	"14"	"97"	"28"	"3"	"5"	"24"	"4"	"2"	"31"	"3"	"1"	"8"	"0"	"3"	"8"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"9"	"4"	"0"	"241"	"254"	"0"	"0"
"12969"	"4"	"13"	"1"	"2"	"400"	"7"	"78"	"23"	"4"	"2"	"15"	"8"	"7"	"46"	"9"	"6"	"4"	"0"	"3"	"10"	"6"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"9"	"2"	"0"	"244"	"244"	"1"	"0"
