"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VALOR"	"VAMOS"	"UNE"	"BIEN"	"FCN_NACION"	"MLP"	"SEMILLA"	"EG"	"PODEMOS"	"CREO"	"UNIDOS"	"PC"	"UCN"	"FUERZA"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11068"	"4"	"11"	"1"	"2"	"380"	"7"	"39"	"16"	"28"	"58"	"4"	"18"	"0"	"1"	"0"	"4"	"0"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"14"	"7"	"0"	"207"	"207"	"1"	"0"
"11069"	"4"	"11"	"1"	"2"	"380"	"1"	"60"	"6"	"17"	"44"	"1"	"14"	"1"	"0"	"2"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"16"	"3"	"0"	"170"	"170"	"1"	"0"
"11070"	"4"	"11"	"1"	"2"	"305"	"3"	"42"	"11"	"11"	"59"	"1"	"10"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"16"	"4"	"0"	"165"	"165"	"1"	"0"
"11071"	"4"	"11"	"1"	"2"	"305"	"0"	"44"	"17"	"10"	"50"	"3"	"8"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"9"	"6"	"0"	"151"	"151"	"1"	"0"
"11072"	"4"	"11"	"1"	"2"	"586"	"9"	"36"	"8"	"10"	"55"	"2"	"5"	"2"	"0"	"3"	"3"	"0"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"7"	"8"	"0"	"154"	"154"	"1"	"0"
"11073"	"4"	"11"	"1"	"2"	"596"	"15"	"40"	"21"	"11"	"46"	"0"	"4"	"5"	"2"	"1"	"8"	"1"	"2"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"15"	"2"	"0"	"180"	"180"	"1"	"0"
"11074"	"4"	"11"	"1"	"2"	"600"	"17"	"42"	"10"	"22"	"52"	"0"	"7"	"5"	"2"	"0"	"2"	"1"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"12"	"4"	"0"	"182"	"182"	"1"	"0"
"11075"	"4"	"11"	"1"	"2"	"600"	"10"	"46"	"14"	"18"	"68"	"1"	"8"	"3"	"1"	"0"	"9"	"1"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"9"	"1"	"0"	"195"	"195"	"1"	"0"
"11076"	"4"	"11"	"1"	"2"	"600"	"12"	"42"	"17"	"12"	"62"	"4"	"3"	"4"	"2"	"2"	"2"	"0"	"2"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"9"	"2"	"0"	"186"	"186"	"1"	"0"
"11077"	"4"	"11"	"1"	"2"	"600"	"11"	"38"	"11"	"12"	"45"	"1"	"3"	"5"	"1"	"2"	"1"	"2"	"4"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"9"	"2"	"0"	"153"	"153"	"1"	"0"
"11078"	"4"	"11"	"1"	"2"	"600"	"7"	"30"	"9"	"13"	"27"	"1"	"2"	"5"	"2"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"3"	"3"	"0"	"107"	"107"	"1"	"0"
"11079"	"4"	"11"	"1"	"2"	"324"	"2"	"10"	"2"	"2"	"8"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"28"	"28"	"0"	"0"	"0"	"28"	"28"	"1"	"0"
"11080"	"4"	"11"	"1"	"2"	"322"	"0"	"13"	"1"	"5"	"7"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"30"	"30"	"2"	"1"	"0"	"33"	"33"	"1"	"0"
