"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"CREO"	"VICTORIA"	"BIEN"	"PC"	"FCN_NACION"	"CONVERGENCIA"	"VALOR"	"UNIDOS"	"PPT"	"PODEMOS"	"MLP"	"TODOS"	"URNG_MAIZ"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17203"	"4"	"16"	"12"	"2"	"382"	"5"	"19"	"7"	"1"	"13"	"25"	"4"	"45"	"60"	"10"	"0"	"3"	"2"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"24"	"11"	"0"	"234"	"234"	"1"	"0"
"17204"	"4"	"16"	"12"	"2"	"239"	"4"	"10"	"7"	"1"	"13"	"16"	"5"	"17"	"38"	"3"	"0"	"3"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"17"	"8"	"0"	"146"	"146"	"1"	"0"
"17205"	"4"	"16"	"12"	"2"	"238"	"2"	"7"	"14"	"2"	"13"	"24"	"0"	"31"	"45"	"4"	"0"	"2"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"8"	"4"	"0"	"161"	"161"	"1"	"0"
"17206"	"4"	"16"	"12"	"2"	"380"	"5"	"33"	"26"	"1"	"29"	"47"	"1"	"51"	"29"	"11"	"1"	"4"	"7"	"3"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"38"	"11"	"0"	"310"	"310"	"1"	"0"
"17207"	"4"	"16"	"12"	"2"	"380"	"4"	"45"	"1"	"5"	"30"	"43"	"3"	"89"	"20"	"1"	"0"	"2"	"2"	"4"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"19"	"6"	"0"	"294"	"294"	"1"	"0"
"17208"	"4"	"16"	"12"	"2"	"381"	"6"	"28"	"9"	"2"	"54"	"51"	"0"	"57"	"34"	"7"	"0"	"3"	"5"	"5"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"23"	"4"	"0"	"296"	"296"	"1"	"0"
"17209"	"4"	"16"	"12"	"2"	"380"	"2"	"72"	"5"	"3"	"26"	"36"	"2"	"80"	"33"	"3"	"0"	"2"	"6"	"4"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"27"	"5"	"0"	"319"	"319"	"1"	"0"
"17210"	"4"	"16"	"12"	"2"	"326"	"4"	"44"	"9"	"3"	"27"	"23"	"1"	"55"	"41"	"3"	"0"	"1"	"3"	"2"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"24"	"9"	"0"	"260"	"260"	"1"	"0"
"17211"	"4"	"16"	"12"	"2"	"326"	"4"	"20"	"10"	"0"	"34"	"24"	"1"	"47"	"44"	"7"	"0"	"3"	"7"	"2"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"13"	"10"	"1"	"237"	"236"	"0"	"0"
"17212"	"4"	"16"	"12"	"2"	"412"	"10"	"16"	"5"	"1"	"37"	"11"	"0"	"38"	"11"	"4"	"0"	"9"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"9"	"5"	"0"	"161"	"161"	"1"	"0"
"17213"	"4"	"16"	"12"	"2"	"409"	"4"	"6"	"0"	"2"	"8"	"8"	"2"	"20"	"10"	"2"	"1"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"69"	"69"	"10"	"2"	"0"	"81"	"81"	"1"	"0"
