"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"PC"	"WINAQ"	"COCIM"	"URNG_MAIZ"	"VIVA"	"BIEN"	"SEMILLA"	"MLP"	"VAMOS"	"FUERZA"	"UCN"	"FCN_NACION"	"UNIDOS"	"CCT"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14803"	"4"	"14"	"6"	"2"	"380"	"38"	"29"	"9"	"0"	"15"	"10"	"0"	"15"	"7"	"5"	"5"	"9"	"2"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"154"	"12"	"23"	"0"	"299"	"189"	"0"	"0"
"14804"	"4"	"14"	"6"	"2"	"380"	"32"	"53"	"17"	"2"	"19"	"4"	"2"	"8"	"4"	"3"	"58"	"17"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"12"	"10"	"0"	"256"	"256"	"1"	"0"
"14805"	"4"	"14"	"6"	"2"	"373"	"34"	"57"	"17"	"3"	"16"	"2"	"4"	"17"	"6"	"3"	"45"	"14"	"1"	"25"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"8"	"13"	"0"	"267"	"267"	"1"	"0"
"14806"	"4"	"14"	"6"	"2"	"376"	"32"	"39"	"15"	"1"	"21"	"9"	"3"	"8"	"1"	"3"	"53"	"5"	"1"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"11"	"10"	"0"	"230"	"230"	"1"	"0"
"14807"	"4"	"14"	"6"	"2"	"273"	"23"	"31"	"11"	"1"	"11"	"3"	"2"	"9"	"7"	"2"	"39"	"7"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"8"	"9"	"0"	"167"	"167"	"1"	"0"
"14808"	"4"	"14"	"6"	"2"	"273"	"36"	"38"	"14"	"2"	"6"	"6"	"0"	"7"	"3"	"2"	"46"	"4"	"1"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"0"	"5"	"0"	"182"	"182"	"1"	"0"
"14809"	"4"	"14"	"6"	"2"	"380"	"38"	"23"	"14"	"4"	"12"	"4"	"10"	"2"	"0"	"6"	"66"	"9"	"1"	"10"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"12"	"9"	"0"	"224"	"224"	"1"	"0"
"14810"	"4"	"14"	"6"	"2"	"380"	"54"	"43"	"20"	"2"	"40"	"3"	"3"	"1"	"0"	"0"	"36"	"0"	"0"	"4"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"12"	"22"	"0"	"245"	"245"	"1"	"0"
"14811"	"4"	"14"	"6"	"2"	"0"	"50"	"30"	"21"	"5"	"19"	"2"	"5"	"3"	"1"	"16"	"56"	"4"	"3"	"6"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"13"	"11"	"0"	"248"	"248"	"1"	"0"
"14812"	"4"	"14"	"6"	"2"	"380"	"67"	"12"	"7"	"6"	"15"	"1"	"5"	"7"	"0"	"6"	"78"	"2"	"1"	"8"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"12"	"12"	"0"	"241"	"241"	"1"	"0"
