"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"PC"	"VAMOS"	"UNIDOS"	"PODEMOS"	"SEMILLA"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15176"	"4"	"14"	"12"	"2"	"216"	"61"	"11"	"13"	"1"	"2"	"1"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"100"	"3"	"2"	"0"	"105"	"105"	"1"	"0"
"15177"	"4"	"14"	"12"	"2"	"215"	"74"	"10"	"15"	"5"	"4"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"3"	"1"	"0"	"120"	"120"	"1"	"0"
"15178"	"4"	"14"	"12"	"2"	"400"	"128"	"5"	"64"	"1"	"0"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"8"	"11"	"0"	"227"	"227"	"1"	"0"
"15179"	"4"	"14"	"12"	"2"	"400"	"93"	"5"	"70"	"5"	"0"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"8"	"7"	"0"	"199"	"199"	"1"	"0"
"15180"	"4"	"14"	"12"	"2"	"400"	"107"	"1"	"43"	"7"	"3"	"4"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"7"	"13"	"0"	"191"	"191"	"1"	"0"
"15181"	"4"	"14"	"12"	"2"	"400"	"107"	"1"	"58"	"2"	"2"	"2"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"4"	"21"	"0"	"208"	"208"	"1"	"0"
"15182"	"4"	"14"	"12"	"2"	"400"	"84"	"1"	"57"	"5"	"0"	"3"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"5"	"6"	"0"	"167"	"167"	"1"	"0"
"15183"	"4"	"14"	"12"	"2"	"283"	"66"	"1"	"47"	"1"	"0"	"2"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"5"	"6"	"0"	"134"	"134"	"1"	"0"
"15184"	"4"	"14"	"12"	"2"	"283"	"71"	"4"	"45"	"3"	"2"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"2"	"2"	"0"	"137"	"137"	"1"	"0"
"15185"	"4"	"14"	"12"	"2"	"400"	"154"	"2"	"31"	"2"	"2"	"3"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"4"	"13"	"0"	"217"	"217"	"1"	"0"
