"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"CREO"	"UNIONISTA"	"CONVERGENCIA"	"VALOR"	"UNE"	"UNIDOS"	"LIBRE"	"VICTORIA"	"FCN_NACION"	"BIEN"	"PHG"	"PC"	"URNG_MAIZ"	"VIVA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4324"	"4"	"1"	"16"	"2"	"397"	"3"	"5"	"8"	"106"	"1"	"37"	"33"	"2"	"9"	"1"	"5"	"2"	"5"	"10"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"14"	"1"	"0"	"249"	"249"	"1"	"0"
"4325"	"4"	"1"	"16"	"2"	"390"	"4"	"3"	"4"	"119"	"1"	"20"	"34"	"0"	"6"	"1"	"10"	"2"	"5"	"7"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"21"	"1"	"0"	"248"	"248"	"1"	"0"
"4326"	"4"	"1"	"16"	"2"	"395"	"7"	"3"	"1"	"114"	"0"	"20"	"39"	"1"	"12"	"2"	"15"	"2"	"5"	"6"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"11"	"2"	"0"	"245"	"245"	"1"	"0"
"4327"	"4"	"1"	"16"	"2"	"396"	"7"	"1"	"4"	"116"	"3"	"22"	"36"	"2"	"7"	"0"	"8"	"1"	"2"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"16"	"2"	"0"	"232"	"232"	"1"	"0"
"4328"	"4"	"1"	"16"	"2"	"400"	"6"	"1"	"6"	"92"	"1"	"19"	"32"	"2"	"6"	"1"	"10"	"2"	"8"	"11"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"14"	"5"	"0"	"221"	"221"	"1"	"0"
"4329"	"4"	"1"	"16"	"2"	"343"	"4"	"6"	"6"	"102"	"1"	"17"	"27"	"1"	"12"	"0"	"4"	"3"	"6"	"7"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"8"	"2"	"0"	"215"	"215"	"1"	"0"
"4330"	"4"	"1"	"16"	"2"	"341"	"1"	"5"	"3"	"87"	"0"	"22"	"18"	"1"	"8"	"0"	"11"	"0"	"5"	"5"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"12"	"2"	"0"	"186"	"186"	"1"	"0"
"4331"	"4"	"1"	"16"	"2"	"394"	"9"	"2"	"7"	"80"	"1"	"40"	"37"	"2"	"6"	"1"	"6"	"0"	"12"	"30"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"28"	"1"	"0"	"281"	"281"	"1"	"0"
"4332"	"4"	"1"	"16"	"2"	"221"	"6"	"3"	"4"	"35"	"0"	"21"	"16"	"2"	"5"	"2"	"4"	"1"	"6"	"20"	"10"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"3"	"4"	"0"	"147"	"147"	"1"	"0"
"4333"	"4"	"1"	"16"	"2"	"219"	"3"	"2"	"1"	"40"	"0"	"16"	"20"	"0"	"6"	"2"	"0"	"0"	"7"	"15"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"9"	"1"	"0"	"127"	"127"	"1"	"0"
