"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"FCN_NACION"	"FUERZA"	"WINAQ"	"PODEMOS"	"PHG"	"MLP"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8177"	"4"	"7"	"6"	"2"	"380"	"39"	"190"	"51"	"13"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"5"	"8"	"0"	"309"	"309"	"1"	"0"
"8178"	"4"	"7"	"6"	"2"	"380"	"24"	"170"	"66"	"15"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"5"	"10"	"0"	"292"	"292"	"1"	"0"
"8179"	"4"	"7"	"6"	"2"	"380"	"45"	"165"	"60"	"8"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"10"	"6"	"0"	"299"	"299"	"1"	"0"
"8180"	"4"	"7"	"6"	"2"	"380"	"32"	"168"	"43"	"9"	"1"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"6"	"7"	"0"	"271"	"271"	"1"	"4"
"8181"	"4"	"7"	"6"	"2"	"381"	"40"	"146"	"62"	"12"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"8"	"9"	"0"	"278"	"279"	"0"	"1"
"8182"	"4"	"7"	"6"	"2"	"380"	"37"	"198"	"59"	"9"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"4"	"1"	"0"	"309"	"309"	"1"	"0"
"8183"	"4"	"7"	"6"	"2"	"330"	"24"	"171"	"53"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"3"	"3"	"0"	"264"	"264"	"1"	"0"
"8184"	"4"	"7"	"6"	"2"	"330"	"24"	"141"	"57"	"10"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"3"	"1"	"0"	"237"	"237"	"1"	"0"
"8185"	"4"	"7"	"6"	"2"	"381"	"51"	"166"	"70"	"5"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"2"	"0"	"0"	"298"	"298"	"1"	"0"
"8186"	"4"	"7"	"6"	"2"	"382"	"57"	"178"	"57"	"9"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"4"	"3"	"0"	"311"	"311"	"1"	"0"
"8187"	"4"	"7"	"6"	"2"	"379"	"55"	"185"	"61"	"11"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"3"	"2"	"0"	"323"	"323"	"1"	"1"
"8188"	"4"	"7"	"6"	"2"	"380"	"59"	"150"	"58"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"1"	"2"	"0"	"277"	"276"	"0"	"1"
"8189"	"4"	"7"	"6"	"2"	"380"	"51"	"173"	"54"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"285"	"0"	"3"	"2"	"289"	"288"	"0"	"0"
"8190"	"4"	"7"	"6"	"2"	"380"	"63"	"160"	"71"	"4"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"5"	"2"	"0"	"310"	"308"	"0"	"0"
"8191"	"4"	"7"	"6"	"2"	"382"	"60"	"161"	"60"	"9"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"4"	"4"	"0"	"302"	"302"	"1"	"0"
"8192"	"4"	"7"	"6"	"2"	"292"	"44"	"112"	"56"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"1"	"0"	"0"	"219"	"219"	"1"	"0"
