"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"UNE"	"CREO"	"BIEN"	"UNIDOS"	"VICTORIA"	"FCN_NACION"	"PHG"	"PC"	"FUERZA"	"UNIONISTA"	"VALOR"	"MLP"	"PAN"	"UCN"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6136"	"3"	"4"	"6"	"2"	"400"	"10"	"103"	"139"	"2"	"7"	"2"	"1"	"1"	"5"	"1"	"1"	"2"	"3"	"24"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"14"	"15"	"0"	"333"	"333"	"1"	"0"
"6137"	"3"	"4"	"6"	"2"	"403"	"4"	"88"	"96"	"3"	"7"	"0"	"1"	"6"	"4"	"1"	"4"	"1"	"9"	"31"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"9"	"16"	"0"	"286"	"286"	"1"	"0"
"6138"	"3"	"4"	"6"	"2"	"400"	"4"	"93"	"108"	"2"	"4"	"1"	"0"	"2"	"8"	"0"	"3"	"1"	"4"	"22"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"12"	"11"	"0"	"281"	"281"	"1"	"0"
"6139"	"3"	"4"	"6"	"2"	"403"	"6"	"74"	"100"	"5"	"2"	"1"	"2"	"4"	"0"	"1"	"3"	"0"	"5"	"21"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"12"	"17"	"0"	"269"	"257"	"0"	"0"
"6140"	"3"	"4"	"6"	"2"	"400"	"14"	"84"	"87"	"4"	"7"	"1"	"1"	"8"	"7"	"1"	"1"	"0"	"7"	"21"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"13"	"16"	"0"	"278"	"278"	"1"	"0"
"6141"	"3"	"4"	"6"	"2"	"401"	"9"	"82"	"85"	"5"	"7"	"2"	"1"	"9"	"2"	"0"	"1"	"3"	"13"	"20"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"10"	"14"	"0"	"271"	"271"	"1"	"0"
"6142"	"3"	"4"	"6"	"2"	"400"	"6"	"85"	"85"	"1"	"4"	"2"	"1"	"4"	"4"	"1"	"4"	"5"	"5"	"22"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"5"	"13"	"0"	"254"	"254"	"1"	"0"
"6143"	"3"	"4"	"6"	"2"	"403"	"7"	"101"	"123"	"3"	"1"	"2"	"0"	"13"	"5"	"1"	"5"	"0"	"12"	"20"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"3"	"8"	"0"	"306"	"306"	"1"	"0"
"6144"	"3"	"4"	"6"	"2"	"348"	"11"	"91"	"98"	"2"	"5"	"2"	"0"	"8"	"8"	"1"	"7"	"0"	"6"	"22"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"9"	"8"	"65"	"283"	"283"	"1"	"0"
"6145"	"3"	"4"	"6"	"2"	"348"	"7"	"93"	"93"	"3"	"7"	"0"	"0"	"10"	"8"	"0"	"0"	"2"	"3"	"26"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"10"	"1"	"0"	"266"	"266"	"1"	"0"
"6146"	"3"	"4"	"6"	"2"	"380"	"7"	"61"	"105"	"3"	"3"	"0"	"0"	"3"	"2"	"0"	"1"	"0"	"2"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"9"	"15"	"0"	"224"	"224"	"1"	"0"
