"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"TODOS"	"UCN"	"PAN"	"PODEMOS"	"CREO"	"VALOR"	"VICTORIA"	"PC"	"SEMILLA"	"VIVA"	"BIEN"	"LIBRE"	"CONVERGENCIA"	"UNIONISTA"	"PPT"	"FUERZA"	"MLP"	"EG"	"FCN_NACION"	"AVANZA"	"UNIDOS"	"URNG_MAIZ"	"PHG"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6641"	"3"	"5"	"3"	"2"	"380"	"6"	"47"	"1"	"2"	"6"	"5"	"39"	"1"	"5"	"0"	"12"	"2"	"0"	"22"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"3"	"0"	"0"	"2"	"22"	"0"	"0"	"0"	"0"	"180"	"180"	"15"	"20"	"0"	"215"	"215"	"1"	"0"
"6642"	"3"	"5"	"3"	"2"	"380"	"3"	"66"	"0"	"2"	"5"	"1"	"42"	"1"	"3"	"0"	"14"	"1"	"3"	"19"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"8"	"0"	"1"	"0"	"27"	"0"	"0"	"0"	"0"	"201"	"201"	"8"	"18"	"0"	"227"	"227"	"1"	"0"
"6643"	"3"	"5"	"3"	"2"	"299"	"9"	"48"	"5"	"5"	"4"	"5"	"38"	"0"	"9"	"0"	"12"	"5"	"1"	"29"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"0"	"2"	"31"	"0"	"0"	"0"	"0"	"208"	"208"	"8"	"15"	"0"	"231"	"231"	"1"	"0"
"6644"	"3"	"5"	"3"	"2"	"298"	"3"	"62"	"0"	"1"	"3"	"1"	"44"	"1"	"6"	"0"	"12"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"40"	"0"	"0"	"0"	"0"	"205"	"183"	"7"	"12"	"74"	"224"	"202"	"0"	"0"
"6645"	"3"	"5"	"3"	"2"	"529"	"2"	"16"	"1"	"4"	"5"	"4"	"14"	"1"	"6"	"2"	"4"	"1"	"4"	"17"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"4"	"1"	"1"	"1"	"36"	"0"	"0"	"0"	"0"	"129"	"129"	"16"	"13"	"0"	"158"	"158"	"1"	"0"
"6646"	"3"	"5"	"3"	"2"	"529"	"2"	"6"	"0"	"1"	"3"	"5"	"14"	"3"	"3"	"0"	"4"	"4"	"3"	"9"	"3"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"16"	"0"	"0"	"0"	"0"	"85"	"85"	"13"	"16"	"0"	"114"	"114"	"1"	"1"
"6647"	"3"	"5"	"4"	"2"	"402"	"11"	"41"	"4"	"4"	"39"	"4"	"2"	"53"	"5"	"7"	"1"	"4"	"2"	"22"	"4"	"0"	"0"	"4"	"23"	"1"	"2"	"11"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"248"	"248"	"21"	"26"	"0"	"295"	"295"	"1"	"0"
"6648"	"3"	"5"	"4"	"2"	"0"	"13"	"34"	"3"	"3"	"30"	"10"	"4"	"61"	"0"	"6"	"4"	"5"	"6"	"16"	"1"	"1"	"1"	"1"	"14"	"3"	"1"	"22"	"1"	"1"	"1"	"12"	"0"	"0"	"0"	"0"	"254"	"254"	"11"	"31"	"0"	"296"	"296"	"1"	"0"
"6649"	"3"	"5"	"4"	"2"	"0"	"7"	"42"	"2"	"6"	"38"	"7"	"1"	"44"	"3"	"3"	"3"	"2"	"3"	"18"	"0"	"1"	"0"	"0"	"18"	"2"	"2"	"4"	"1"	"1"	"3"	"9"	"0"	"0"	"0"	"0"	"220"	"220"	"30"	"34"	"0"	"284"	"284"	"1"	"0"
"6650"	"3"	"5"	"4"	"2"	"0"	"9"	"36"	"2"	"3"	"38"	"3"	"2"	"59"	"3"	"5"	"1"	"7"	"5"	"19"	"1"	"1"	"0"	"1"	"15"	"2"	"0"	"1"	"1"	"3"	"1"	"8"	"0"	"0"	"0"	"0"	"236"	"226"	"26"	"19"	"0"	"281"	"271"	"0"	"0"
