"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"VAMOS"	"FCN_NACION"	"MLP"	"TODOS"	"WINAQ"	"UNE"	"PC"	"VALOR"	"UCN"	"PODEMOS"	"BIEN"	"VIVA"	"SEMILLA"	"UNIDOS"	"CONVERGENCIA"	"PPT"	"UNIONISTA"	"VICTORIA"	"LIBRE"	"EG"	"PAN"	"FUERZA"	"URNG_MAIZ"	"PHG"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16819"	"3"	"16"	"9"	"2"	"293"	"1"	"1"	"5"	"1"	"4"	"4"	"15"	"6"	"6"	"6"	"1"	"18"	"16"	"4"	"1"	"3"	"0"	"0"	"25"	"2"	"0"	"0"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"11"	"11"	"0"	"148"	"148"	"1"	"0"
"16820"	"3"	"16"	"9"	"2"	"293"	"3"	"3"	"6"	"1"	"3"	"1"	"11"	"12"	"5"	"6"	"9"	"23"	"30"	"4"	"0"	"2"	"1"	"1"	"22"	"1"	"0"	"2"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"12"	"10"	"0"	"175"	"175"	"1"	"0"
"16821"	"3"	"16"	"9"	"2"	"400"	"2"	"1"	"12"	"6"	"4"	"3"	"32"	"8"	"3"	"0"	"3"	"5"	"31"	"4"	"0"	"1"	"0"	"1"	"74"	"4"	"1"	"4"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"211"	"205"	"33"	"16"	"0"	"260"	"254"	"0"	"0"
"16822"	"3"	"16"	"9"	"2"	"400"	"1"	"7"	"20"	"1"	"8"	"9"	"40"	"6"	"1"	"1"	"34"	"6"	"19"	"1"	"2"	"0"	"2"	"0"	"57"	"3"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"45"	"22"	"0"	"290"	"290"	"1"	"0"
"16823"	"3"	"16"	"9"	"2"	"400"	"3"	"8"	"12"	"3"	"3"	"7"	"36"	"7"	"7"	"2"	"16"	"8"	"23"	"0"	"0"	"0"	"0"	"1"	"67"	"1"	"1"	"4"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"45"	"21"	"0"	"282"	"282"	"1"	"0"
"16824"	"3"	"16"	"9"	"2"	"400"	"3"	"4"	"10"	"0"	"7"	"5"	"56"	"2"	"7"	"1"	"9"	"8"	"35"	"0"	"1"	"1"	"0"	"3"	"82"	"3"	"0"	"1"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"31"	"16"	"0"	"293"	"293"	"1"	"0"
"16825"	"3"	"16"	"9"	"2"	"400"	"1"	"6"	"12"	"2"	"4"	"11"	"35"	"10"	"6"	"3"	"18"	"8"	"38"	"4"	"0"	"3"	"4"	"0"	"66"	"1"	"0"	"7"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"44"	"16"	"0"	"306"	"306"	"1"	"0"
"16826"	"3"	"16"	"9"	"2"	"400"	"5"	"7"	"9"	"5"	"5"	"7"	"30"	"8"	"4"	"1"	"13"	"5"	"37"	"2"	"0"	"1"	"1"	"3"	"66"	"9"	"2"	"2"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"229"	"231"	"32"	"18"	"0"	"279"	"281"	"0"	"0"
"16827"	"3"	"16"	"9"	"2"	"400"	"2"	"5"	"10"	"3"	"2"	"5"	"32"	"8"	"2"	"6"	"13"	"21"	"24"	"0"	"0"	"2"	"0"	"1"	"72"	"3"	"1"	"2"	"3"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"25"	"11"	"141"	"259"	"259"	"1"	"0"
"16828"	"3"	"16"	"9"	"2"	"400"	"2"	"3"	"12"	"3"	"3"	"3"	"27"	"12"	"4"	"1"	"19"	"15"	"30"	"3"	"1"	"2"	"2"	"4"	"62"	"8"	"0"	"0"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"29"	"14"	"0"	"267"	"267"	"1"	"0"
