"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"BIEN"	"CREO"	"UNIONISTA"	"FUERZA"	"VALOR"	"WINAQ"	"FCN_NACION"	"VAMOS"	"EG"	"UNIDOS"	"SEMILLA"	"TODOS"	"CONVERGENCIA"	"PHG"	"PAN"	"PODEMOS"	"URNG_MAIZ"	"AVANZA"	"VIVA"	"MLP"	"PC"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18078"	"3"	"17"	"11"	"2"	"400"	"51"	"7"	"26"	"35"	"0"	"20"	"0"	"1"	"6"	"17"	"0"	"0"	"23"	"2"	"1"	"2"	"4"	"0"	"3"	"3"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"20"	"18"	"0"	"247"	"247"	"1"	"0"
"18079"	"3"	"17"	"11"	"2"	"400"	"63"	"4"	"27"	"29"	"3"	"25"	"1"	"2"	"8"	"21"	"1"	"0"	"25"	"2"	"0"	"3"	"1"	"1"	"1"	"1"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"15"	"18"	"0"	"259"	"259"	"1"	"0"
"18080"	"3"	"17"	"11"	"2"	"400"	"38"	"7"	"28"	"37"	"2"	"14"	"1"	"4"	"9"	"20"	"0"	"0"	"14"	"3"	"1"	"5"	"2"	"0"	"1"	"2"	"7"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"10"	"21"	"4"	"235"	"235"	"1"	"0"
"18081"	"3"	"17"	"11"	"2"	"400"	"36"	"4"	"20"	"28"	"1"	"25"	"1"	"1"	"7"	"16"	"0"	"0"	"34"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"5"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"32"	"21"	"0"	"243"	"243"	"1"	"0"
"18082"	"3"	"17"	"11"	"2"	"400"	"44"	"9"	"28"	"27"	"0"	"16"	"0"	"1"	"10"	"22"	"0"	"0"	"28"	"1"	"0"	"4"	"2"	"1"	"5"	"2"	"1"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"6"	"26"	"13"	"243"	"243"	"1"	"0"
"18083"	"3"	"17"	"11"	"2"	"400"	"53"	"6"	"15"	"36"	"4"	"21"	"0"	"0"	"13"	"18"	"0"	"0"	"30"	"4"	"0"	"3"	"4"	"0"	"6"	"0"	"3"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"14"	"24"	"0"	"260"	"260"	"1"	"0"
"18084"	"3"	"17"	"11"	"2"	"400"	"44"	"6"	"22"	"32"	"5"	"29"	"0"	"3"	"14"	"21"	"1"	"1"	"22"	"3"	"1"	"4"	"4"	"3"	"3"	"3"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"26"	"16"	"0"	"273"	"272"	"0"	"0"
"18085"	"3"	"17"	"11"	"2"	"400"	"53"	"7"	"24"	"33"	"0"	"24"	"0"	"1"	"5"	"25"	"0"	"0"	"35"	"1"	"0"	"5"	"2"	"0"	"2"	"2"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"20"	"15"	"0"	"265"	"265"	"1"	"0"
"18086"	"3"	"17"	"11"	"2"	"400"	"39"	"9"	"24"	"31"	"3"	"28"	"0"	"0"	"18"	"22"	"0"	"0"	"16"	"1"	"0"	"4"	"3"	"1"	"2"	"1"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"14"	"8"	"0"	"231"	"231"	"1"	"0"
"18087"	"3"	"17"	"11"	"2"	"400"	"42"	"5"	"25"	"26"	"3"	"19"	"1"	"0"	"9"	"21"	"1"	"0"	"25"	"0"	"0"	"3"	"2"	"1"	"1"	"1"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"7"	"10"	"0"	"207"	"207"	"1"	"0"
"18088"	"3"	"17"	"11"	"2"	"400"	"47"	"6"	"28"	"28"	"4"	"16"	"0"	"1"	"12"	"16"	"0"	"0"	"17"	"1"	"1"	"4"	"1"	"0"	"0"	"0"	"4"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"9"	"15"	"0"	"213"	"213"	"1"	"0"
"18089"	"3"	"17"	"11"	"2"	"400"	"43"	"4"	"24"	"34"	"4"	"18"	"1"	"0"	"13"	"10"	"1"	"0"	"16"	"2"	"0"	"5"	"0"	"0"	"4"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"11"	"14"	"0"	"210"	"210"	"1"	"0"
"18090"	"3"	"17"	"11"	"2"	"400"	"53"	"10"	"23"	"37"	"2"	"16"	"1"	"0"	"19"	"21"	"0"	"0"	"22"	"0"	"0"	"1"	"2"	"2"	"2"	"2"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"17"	"12"	"0"	"248"	"248"	"1"	"0"
"18091"	"3"	"17"	"11"	"2"	"400"	"39"	"10"	"34"	"32"	"4"	"16"	"1"	"0"	"10"	"10"	"1"	"1"	"30"	"0"	"1"	"4"	"1"	"3"	"2"	"0"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"18"	"17"	"0"	"243"	"243"	"1"	"0"
"18092"	"3"	"17"	"11"	"2"	"400"	"47"	"5"	"23"	"29"	"2"	"12"	"0"	"0"	"14"	"22"	"0"	"0"	"25"	"2"	"0"	"2"	"2"	"1"	"1"	"0"	"5"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"11"	"15"	"0"	"227"	"227"	"1"	"0"
"18093"	"3"	"17"	"11"	"2"	"400"	"50"	"9"	"33"	"34"	"2"	"15"	"0"	"1"	"12"	"21"	"1"	"1"	"21"	"3"	"0"	"0"	"3"	"2"	"1"	"2"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"0"	"12"	"15"	"233"	"233"	"1"	"0"
"18094"	"3"	"17"	"11"	"2"	"400"	"44"	"7"	"32"	"25"	"1"	"23"	"0"	"1"	"15"	"8"	"1"	"0"	"18"	"3"	"0"	"3"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"13"	"16"	"0"	"220"	"220"	"1"	"0"
"18095"	"3"	"17"	"11"	"2"	"400"	"40"	"9"	"21"	"26"	"1"	"14"	"0"	"2"	"11"	"7"	"0"	"0"	"16"	"1"	"0"	"4"	"0"	"0"	"1"	"2"	"3"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"18"	"16"	"0"	"198"	"198"	"1"	"0"
"18096"	"3"	"17"	"11"	"2"	"400"	"34"	"7"	"21"	"25"	"8"	"23"	"0"	"1"	"11"	"17"	"0"	"0"	"24"	"0"	"0"	"3"	"3"	"1"	"1"	"0"	"5"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"19"	"15"	"0"	"222"	"222"	"1"	"0"
