"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"CONVERGENCIA"	"EG"	"UNIDOS"	"UNE"	"VALOR"	"FUERZA"	"PHG"	"FCN_NACION"	"UNIONISTA"	"VICTORIA"	"MLP"	"VIVA"	"PPT"	"URNG_MAIZ"	"SEMILLA"	"BIEN"	"PC"	"LIBRE"	"AVANZA"	"UCN"	"PODEMOS"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8538"	"3"	"8"	"1"	"2"	"398"	"10"	"42"	"6"	"8"	"2"	"63"	"7"	"11"	"5"	"1"	"6"	"3"	"7"	"5"	"0"	"6"	"7"	"6"	"1"	"0"	"2"	"16"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"223"	"23"	"14"	"1"	"251"	"260"	"0"	"0"
"8539"	"3"	"8"	"1"	"2"	"400"	"8"	"35"	"2"	"11"	"0"	"76"	"4"	"9"	"7"	"3"	"3"	"4"	"12"	"0"	"0"	"7"	"7"	"2"	"1"	"1"	"2"	"10"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"24"	"21"	"0"	"263"	"263"	"1"	"0"
"8540"	"3"	"8"	"1"	"2"	"399"	"6"	"39"	"4"	"7"	"1"	"83"	"4"	"5"	"11"	"6"	"5"	"3"	"11"	"3"	"1"	"3"	"1"	"6"	"0"	"2"	"0"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"28"	"14"	"0"	"261"	"261"	"1"	"0"
"8541"	"3"	"8"	"1"	"2"	"395"	"3"	"39"	"4"	"7"	"4"	"72"	"5"	"8"	"19"	"3"	"2"	"2"	"12"	"4"	"1"	"4"	"9"	"6"	"3"	"2"	"3"	"8"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"21"	"19"	"0"	"269"	"269"	"1"	"0"
"8542"	"3"	"8"	"1"	"2"	"400"	"11"	"33"	"5"	"5"	"3"	"46"	"1"	"8"	"13"	"3"	"4"	"2"	"14"	"2"	"2"	"10"	"6"	"8"	"1"	"0"	"2"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"14"	"5"	"0"	"212"	"212"	"1"	"0"
"8543"	"3"	"8"	"1"	"2"	"398"	"20"	"54"	"2"	"2"	"2"	"57"	"2"	"7"	"3"	"4"	"3"	"2"	"7"	"2"	"0"	"10"	"2"	"2"	"1"	"1"	"2"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"18"	"18"	"0"	"232"	"232"	"1"	"0"
"8544"	"3"	"8"	"1"	"2"	"400"	"14"	"48"	"4"	"3"	"3"	"46"	"2"	"15"	"7"	"3"	"3"	"1"	"13"	"2"	"0"	"6"	"5"	"7"	"2"	"1"	"1"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"26"	"14"	"0"	"243"	"243"	"1"	"0"
"8545"	"3"	"8"	"1"	"2"	"399"	"4"	"38"	"5"	"3"	"5"	"41"	"1"	"13"	"5"	"5"	"2"	"0"	"12"	"1"	"1"	"6"	"7"	"5"	"1"	"4"	"0"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"14"	"11"	"0"	"198"	"198"	"1"	"0"
"8546"	"3"	"8"	"1"	"2"	"363"	"10"	"29"	"1"	"3"	"4"	"34"	"2"	"11"	"12"	"3"	"0"	"2"	"14"	"3"	"1"	"8"	"7"	"1"	"0"	"2"	"2"	"7"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"21"	"7"	"0"	"194"	"194"	"1"	"0"
"8547"	"3"	"8"	"1"	"2"	"362"	"9"	"31"	"4"	"7"	"3"	"20"	"1"	"7"	"13"	"5"	"1"	"0"	"18"	"4"	"0"	"1"	"7"	"6"	"0"	"2"	"1"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"9"	"7"	"2"	"165"	"165"	"1"	"0"
"8548"	"3"	"8"	"1"	"2"	"400"	"10"	"35"	"2"	"9"	"2"	"40"	"3"	"14"	"8"	"10"	"1"	"3"	"12"	"2"	"2"	"7"	"5"	"6"	"3"	"2"	"1"	"13"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"28"	"14"	"0"	"256"	"256"	"1"	"0"
"8549"	"3"	"8"	"1"	"2"	"398"	"7"	"36"	"1"	"4"	"2"	"58"	"2"	"4"	"3"	"17"	"3"	"2"	"6"	"4"	"1"	"7"	"6"	"2"	"0"	"3"	"2"	"3"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"27"	"18"	"0"	"238"	"238"	"1"	"0"
"8550"	"3"	"8"	"1"	"2"	"400"	"4"	"41"	"4"	"3"	"2"	"59"	"4"	"6"	"12"	"11"	"2"	"4"	"10"	"1"	"0"	"5"	"4"	"2"	"1"	"2"	"0"	"6"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"31"	"16"	"0"	"243"	"243"	"1"	"0"
"8551"	"3"	"8"	"1"	"2"	"400"	"15"	"34"	"2"	"2"	"1"	"34"	"4"	"11"	"4"	"3"	"0"	"2"	"12"	"3"	"2"	"13"	"4"	"8"	"4"	"5"	"0"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"25"	"32"	"0"	"237"	"237"	"1"	"0"
"8552"	"3"	"8"	"1"	"2"	"400"	"12"	"42"	"2"	"3"	"4"	"48"	"6"	"14"	"16"	"4"	"1"	"3"	"10"	"2"	"7"	"10"	"2"	"6"	"0"	"8"	"3"	"4"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"20"	"18"	"0"	"266"	"266"	"1"	"0"
"8553"	"3"	"8"	"1"	"2"	"398"	"14"	"22"	"4"	"3"	"1"	"60"	"7"	"26"	"6"	"8"	"1"	"4"	"7"	"1"	"1"	"8"	"3"	"6"	"2"	"2"	"5"	"6"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"20"	"29"	"0"	"256"	"256"	"1"	"0"
"8554"	"3"	"8"	"1"	"2"	"400"	"14"	"31"	"5"	"8"	"0"	"39"	"3"	"13"	"6"	"9"	"0"	"1"	"8"	"1"	"0"	"7"	"6"	"3"	"1"	"3"	"2"	"4"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"26"	"28"	"0"	"255"	"255"	"1"	"0"
"8555"	"3"	"8"	"1"	"2"	"398"	"17"	"39"	"4"	"8"	"2"	"40"	"4"	"11"	"5"	"9"	"3"	"8"	"12"	"5"	"0"	"8"	"7"	"6"	"0"	"3"	"2"	"4"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"28"	"15"	"0"	"267"	"267"	"1"	"0"
"8556"	"3"	"8"	"1"	"2"	"402"	"14"	"28"	"3"	"6"	"4"	"39"	"2"	"7"	"11"	"13"	"2"	"5"	"8"	"4"	"0"	"9"	"11"	"6"	"0"	"1"	"0"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"19"	"13"	"0"	"219"	"219"	"1"	"0"
"8557"	"3"	"8"	"1"	"2"	"400"	"18"	"39"	"2"	"7"	"2"	"33"	"9"	"7"	"7"	"5"	"0"	"3"	"17"	"4"	"3"	"6"	"4"	"1"	"4"	"3"	"0"	"4"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"19"	"11"	"0"	"225"	"225"	"1"	"0"
"8558"	"3"	"8"	"1"	"2"	"402"	"16"	"45"	"2"	"8"	"4"	"36"	"2"	"5"	"9"	"12"	"6"	"5"	"10"	"1"	"1"	"14"	"4"	"3"	"1"	"2"	"2"	"8"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"35"	"13"	"0"	"257"	"257"	"1"	"0"
"8559"	"3"	"8"	"1"	"2"	"400"	"17"	"27"	"4"	"8"	"1"	"28"	"2"	"3"	"4"	"13"	"1"	"4"	"3"	"2"	"2"	"6"	"2"	"5"	"1"	"3"	"5"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"72"	"23"	"0"	"249"	"249"	"1"	"0"
